DATE,SP500,GOLD,LIBOR
2019-07-08,2975.95,1404.900,2.33775
2019-07-09,2979.63,1387.900,2.34075
2019-07-10,2993.07,1395.450,2.33950
2019-07-11,2999.91,1423.100,2.30338
2019-07-12,3013.77,1405.600,2.32225
2019-07-15,3014.30,1416.250,2.30325
2019-07-16,3004.04,1416.100,2.29963
2019-07-17,2984.42,1400.800,2.30250
2019-07-18,2995.11,1420.900,2.27763
2019-07-19,2976.61,1437.050,2.25938
2019-07-22,2985.03,1424.450,2.28275
2019-07-23,3005.47,1417.550,2.27550
2019-07-24,3019.56,1425.550,2.26663
2019-07-25,3003.67,1426.350,2.25575
2019-07-26,3025.86,1418.250,2.26575
2019-07-29,3020.97,1418.950,2.25550
2019-07-30,3013.18,1428.450,2.25313
2019-07-31,2980.38,1430.550,2.26563
2019-08-01,2953.56,1406.400,2.28675
2019-08-02,2932.05,1436.050,2.23925
2019-08-05,2844.74,1457.450,2.20900
2019-08-06,2881.77,1461.850,2.18700
2019-08-07,2883.98,1487.650,2.18450
2019-08-08,2938.09,1497.400,2.18100
2019-08-09,2918.65,1503.500,2.17563
2019-08-12,2883.75,1501.950,2.17525
2019-08-13,2926.32,1527.200,2.15813
2019-08-14,2840.60,1500.350,2.16838
2019-08-15,2847.60,1517.650,2.12375
2019-08-16,2888.68,1509.050,2.13588
2019-08-19,2923.65,1499.350,2.15150
2019-08-20,2900.51,1502.650,2.14950
2019-08-21,2924.43,1499.650,2.14763
2019-08-22,2922.95,1498.700,2.13225
2019-08-23,2847.11,1495.500,2.14438
2019-08-27,2869.16,1531.850,2.11738
2019-08-28,2887.94,1541.750,2.12413
2019-08-29,2924.58,1536.650,2.13175
2019-08-30,2926.46,1526.550,2.13763
2019-09-03,2906.27,1532.450,2.12663
2019-09-04,2937.78,1538.800,2.11238
2019-09-05,2976.00,1542.600,2.10213
2019-09-06,2978.71,1504.950,2.13413
2019-09-09,2978.43,1509.950,2.13838
2019-09-10,2979.39,1494.600,2.13163
2019-09-11,3000.93,1493.650,2.12725
2019-09-12,3009.57,1502.950,2.11850
2019-09-13,3007.39,1506.300,2.13938
2019-09-16,2997.96,1502.050,2.14513
2019-09-17,3005.70,1499.300,2.16413
2019-09-18,3006.73,1502.200,2.15588
2019-09-19,3006.79,1498.400,2.15888
2019-09-20,2992.07,1504.100,2.13463
2019-09-23,2991.78,1519.500,2.10625
2019-09-24,2966.60,1520.250,2.11300
2019-09-25,2984.87,1530.850,2.09963
2019-09-26,2977.62,1507.050,2.10438
2019-09-27,2961.79,1496.150,2.09863
2019-09-30,2976.74,1487.600,2.08513
2019-10-01,2940.25,1466.100,2.08863
2019-10-02,2887.61,1484.050,2.05638
2019-10-03,2910.63,1504.000,2.04313
2019-10-04,2952.01,1509.500,2.02700
2019-10-07,2938.79,1502.150,2.01200
2019-10-08,2893.06,1500.000,2.00950
2019-10-09,2919.40,1503.400,1.98425
2019-10-10,2938.13,1508.200,1.98613
2019-10-11,2970.27,1498.350,2.00088
2019-10-14,2966.15,1494.200,2.00088
2019-10-15,2995.68,1494.750,2.00213
2019-10-16,2989.69,1482.550,2.00325
2019-10-17,2997.95,1484.450,1.96588
2019-10-21,3006.72,1490.850,1.93400
2019-10-22,2995.99,1487.450,1.93600
2019-10-23,3004.52,1494.250,1.93963
2019-10-24,3010.29,1488.850,1.93563
2019-10-25,3022.55,1504.650,1.92813
